,r2,rmse,strain,closest_strain,distance,ith
326,-0.11667029887141545,1.0567262175565726,PH,PK,0.05618104,3.0
327,0.009783535330883608,0.9950962087502493,PH,PR2,0.06483484,4.0
328,-0.20358560105090762,1.0970804897777133,PH,PAg1,0.57417504,5.0
329,-0.42103952851832016,1.1920736254604083,PH,PAg2,0.57916999,6.0
330,-0.1827930533067279,1.087562896253238,PH,EL,0.58221415,7.0
331,-0.5351413142804984,1.2390081978261898,PH,BI,0.60970544,8.0
332,-0.5852827858931324,1.2590801348179295,PH,CF,0.61684499,9.0
333,-2.9545910211026376,1.9886153527272825,PH,EC,0.62277243,10.0
334,-0.16215805153805296,1.0780343461773616,PH,PAg3,0.6233124,11.0
335,-0.39939826772394915,1.1829616509946355,PH,LA,0.62629894,12.0
336,-0.3245189997953193,1.1508774912193407,PH,RP1,0.62841098,13.0
337,-0.532164347637299,1.2378062641775944,PH,KA,0.6290311,14.0
338,-0.3661825023439371,1.168838099286611,PH,RP2,0.63153646,15.0
339,-0.07164079101701426,1.035200845738165,PH,PAl,0.65330798,16.0
340,-0.4084877552114252,1.18679726794909,PH,SF1,0.69829973,17.0
341,-0.11865237340395818,1.057663639066767,PH,EA,0.70463491,18.0
342,0.2115243530486628,0.8879615120889769,PK,PH,0.05618104,0.0
343,0.06897526631998907,0.9648962294879295,PK,PP,0.0580435,1.0
344,0.29069591733202893,0.8422019251153348,PK,PAr,0.07018435,2.0
345,0.1835809509819517,0.9035591010100255,PK,PR1,0.08284071,3.0
346,-0.07272848569935597,1.0357260669208592,PK,PR2,0.09188788,4.0
347,-0.1603978383618534,1.0772176374168045,PK,PAg1,0.60122808,5.0
348,-0.322052681126491,1.1498054970848275,PK,PAg2,0.60622303,6.0
349,-0.004840530778608576,1.0024173436142263,PK,EL,0.60926719,7.0
350,-0.16530448039190349,1.079492695849262,PK,BI,0.63675848,8.0
351,-0.29964621913483036,1.1400202713701326,PK,CF,0.64389803,9.0
352,-1.6893309512846049,1.6399179709011715,PK,EC,0.64982547,10.0
353,-0.12797398809270577,1.0620611979037267,PK,PAg3,0.65036544,11.0
354,-0.21212132128196148,1.1009638147014509,PK,LA,0.65335198,12.0
355,-0.23991456489550966,1.1135145104108528,PK,RP1,0.65546402,13.0
356,-0.12467660591139573,1.060507711387054,PK,KA,0.65608414,14.0
357,-0.28291165402422824,1.1326569004002203,PK,RP2,0.6585895,15.0
358,-0.021467932201781004,1.0106769672856792,PK,PAl,0.68036102,16.0
359,-0.20356879042157572,1.0970728282213396,PK,SF1,0.72535277,17.0
360,-0.10159779596737284,1.0495702911036313,PK,EA,0.73168795,18.0
361,0.3632342398791384,0.797976039816269,PP,PH,0.04344726,0.0
362,0.058424360631994965,0.9703482052170749,PP,PAr,0.05745057,1.0
363,0.1826266478391726,0.904087026873428,PP,PK,0.0580435,2.0
364,0.209155140193367,0.8892945855039484,PP,PR1,0.07010693,3.0
365,0.0018962394774797442,0.9990514303690896,PP,PR2,0.0791541,4.0
366,-0.3951450314543168,1.1811625762164648,PP,PAg1,0.5884943,5.0
367,-0.3598627628176112,1.1661315375280794,PP,PAg2,0.59348925,6.0
