,index,nrmse,nrmse_null,nrmse_with_mono,nrmse_without_mono,nrmse_copy_model
0,Acetate,0.45998892505062733,1.0989777883619278,0.7017658508241805,0.9454120069317876,1.5091513370593592
1,Alanine,0.6144424311724755,1.103877319398116,0.7170941995809339,1.016551562194885,1.228759380938106
2,Arabinogalactan,0.503732507227833,1.0003372483594457,0.8551904602798119,1.3685611969903408,1.2310041351521384
3,ArabinoseD,0.8750764987180809,1.3040023985712819,0.9734404403334712,1.0441113091734833,1.0685078065031133
4,ArabinoseL,0.29762338009079325,1.0519341779208253,0.3599315470685908,0.7046563559891089,0.8023553024613802
5,Arginine,0.4648525428366841,1.1053319935184895,0.5822110297719658,1.072096136519829,0.7197685596885729
6,Cellobiose,0.3326893886396097,1.0511722481639396,0.4253357500645903,0.8552148872296702,0.9875142999623485
7,Citrate,0.4584972625547038,1.0601405333003533,0.6841898140680089,0.9750272609858065,1.2084872871743286
8,Fructose,0.49979100159062256,1.2366066317509778,0.5240887407826023,0.9881049450629169,1.165740317164234
9,Fumarate,0.3763086024177498,1.0578036891238891,0.4625118427526725,0.73583837764323,0.5358910544126358
10,Galactose,0.3283939186789071,1.0508658343768325,0.42454820856883124,0.6691795751370476,0.8938501658936367
11,GlcNAc,0.2934513769437465,1.0170244657579512,0.44930134909231634,0.6692847199544625,0.8764454857599298
12,Glucose,0.5268039674639009,1.0769945824888176,0.6850536446515457,0.733386705207505,0.776588277623013
13,Glucose01,0.5141998324624933,1.1270711935652742,0.7077918122360495,0.7162594611488291,1.0479995929376773
14,Glutamine,0.2998344193980557,1.0010516864045442,0.4859634359859761,0.9977711349152929,1.4393430827773432
15,Glycerol,0.4577456852798338,1.082958387999103,0.7572898922721594,0.9031704687270898,1.5340359474717284
16,Glycerol01,0.4752503869948234,1.1597884463521944,0.9502045904273435,0.9937598036631536,1.363368738355736
17,Isoleucine,0.30807330169962993,1.1037114204740834,0.4969931675521282,0.8393228394200907,0.9128958787843594
18,Lactose,0.4725011787136139,1.0338041244549223,0.4755986670670523,1.0817092821957561,1.1480378778612401
19,Maltose,0.222516969491369,1.014465373214477,0.4740130103168443,0.604270826444936,0.6877724057796626
20,Mannitol,0.29834672058924094,1.0039514870714261,0.39765756992067547,0.6776487783651087,1.0484096880697675
21,Mannose,0.41696249629892457,1.1628880928239114,0.6325108378643095,1.2366319272470936,1.3908184558106198
22,Melezitose,1.041962581626362,1.5410606199549923,1.1932295780192106,1.1088551141647955,1.0065727629411318
23,Mix,0.3292810415020167,1.296343890902241,0.6261094866166295,0.9832806120309895,1.4930998305175534
24,Proline,0.5004961081529947,1.0295267399084285,0.6941910323640897,1.2022335347062363,0.9368897365290354
25,Proline01,0.5079467196478838,1.0702154695649349,1.0705615708845369,1.0974895764329855,1.3212291619602208
26,Pyruvate,0.42176472182540076,1.1739530491561376,0.6426810022059677,0.8929737299337905,0.8457498317491333
27,Pyruvate01,0.48485389231714315,1.1400465454175595,0.9083789875867112,1.0677459130412088,0.8654370462020168
28,Raffinose,0.25100369540304773,1.1872820447796013,0.535440376071543,1.049510479682195,1.5466883875872386
29,Rhamnose,0.3398635090109954,1.0857286354388238,0.5324520827509261,0.6096461409971418,0.647738082056462
30,Ribose,0.3352574400209794,1.001341182858273,0.5479648338684129,0.7936447574372909,1.1021259792644735
31,Serine,0.5249928966642617,1.2594422806843846,0.7532970777926444,1.4274314131860155,1.286896766530992
32,Sorbitol,0.37138874263695243,1.047424718928077,0.3929778089700974,0.9796070807370589,0.9100114916358162
33,Succinate,0.3617250045453843,1.0113179461693491,0.48273161032070905,0.7244566496277166,0.48973720188010483
34,Sucrose,0.286434128567613,1.121794808387922,0.4036263157418242,1.0921594663729695,1.4325499078284931
35,Sucrose01,0.7360289745558259,1.0036155511579838,0.8988724441145963,1.3943740747960045,1.258722757604965
36,Trehalose,0.2637725743085911,1.0126269320168317,0.32167286796586597,0.8142615231252706,0.9337968670145085
37,Uridine,0.44760264732912647,1.1495506292174107,1.0769076758136746,1.2606623156490795,1.54708959967831
38,Xylose,0.3157163930987594,1.003863980938764,0.5716605746045367,0.8479096058214899,0.777761940920195
