,index,nrmse,nrmse_null,nrmse_with_mono,nrmse_without_mono,nrmse_copy_model
0,BI,0.46476923601004255,1.007738755876189,0.4759935790543584,0.5913445658695652,0.6589865362217765
1,CF,0.4570267854149875,1.0491683227011686,0.5360719770684942,0.5879441403427837,0.6852180726484999
2,EA,0.44892990909317154,1.0056480675898154,0.5656151317032688,1.0329547327418955,1.1423587551531913
3,EC,0.3286062092423574,1.07490286117165,0.8893443338206856,0.9791289107668084,1.0341111281287987
4,EL,0.4139270850993457,1.004931911314733,0.47249416963463403,1.2801243251745953,0.7908301701926879
5,KA,0.4107235810369904,1.0021777890674677,0.36078972827485256,0.5627968238505887,0.5743828994249912
6,LA,0.38399993850681546,1.0001182207820545,0.4644299182990456,0.7081230965161495,0.7450585627565591
7,PAg1,0.475294831492834,1.021882816150312,0.50935141800766,1.4335184073823022,0.9399420938078591
8,PAg2,0.46256099273221335,1.0029679422404463,0.536086249013566,0.7601792553627029,0.7435295515485112
9,PAg3,0.3364015191198029,1.0186260671051397,0.5580615931729138,0.6154442695229463,0.4755887967458871
10,PAl,0.9964836559410315,1.0921703498006146,0.8272074159823115,0.8962139952294051,0.9562092188256205
11,PAr,0.32021562656866387,1.00093628372872,0.5441027674137235,0.6570065106292599,0.6869539147082442
12,PH,0.37636924436682745,1.0182381951951924,0.5719880777277169,0.923124795215425,0.9562364492532484
13,PK,0.335773048942151,1.0115936614850922,0.6412803961505356,0.9222847501596317,0.8879615120889769
14,PP,0.3132803520775729,1.0713352098277127,0.6559639180742122,0.8709346016222257,0.797976039816269
15,PR1,0.430181482975829,1.004257949925239,0.7276336279677725,0.9667092529551681,0.823626297039101
16,PR2,0.27600932025418895,1.0003107734781662,0.5683982817424402,0.8070860340033967,0.9069927666913657
17,RP1,0.37988997628020044,1.0138809199597798,0.3461532389569872,0.3618549872357872,0.33915279567630274
18,RP2,0.36803138312021577,1.0021272673037234,0.3323712669867996,0.35870129980313425,0.3471613677617869
19,SF1,0.36510797002396617,1.064673596271586,0.7048145677568275,0.9905682532136497,0.9409828666949818
