,Bug 1,metDis,Bug 2
222,KA,11825.957281323552,PAr
223,KA,26484.046681221025,EC
224,KA,2505.753500754164,EL
225,KA,2795.389713328424,LA
226,KA,2486.794458461377,RP2
227,KA,2066.5108328768692,RP1
228,KA,3561.853178462832,EA
229,KA,3738.3507827733592,SF1
230,KA,2247.2230025699937,BI
231,KA,0.0,KA
232,KA,1292.4603299764815,CF
233,KA,3331.3060113558145,PAg2
234,KA,3005.881209347566,PAg1
235,KA,2788.101723700333,PAl
236,KA,2930.127122828121,PAg3
237,KA,17713.57150704901,PH
238,KA,18182.63470661779,PK
239,KA,11915.959148206544,PP
240,CF,14748.763872478008,PR2
241,CF,15894.489730467243,PR1
242,CF,11783.832675117263,PAr
243,CF,26589.381441385372,EC
244,CF,2608.7978003550766,EL
245,CF,2667.3989272412723,LA
246,CF,2642.0062118889164,RP2
247,CF,2325.1541437904166,RP1
248,CF,3605.0018667012523,EA
249,CF,3702.431588757899,SF1
250,CF,2434.0335655399963,BI
251,CF,1292.4603299764815,KA
252,CF,0.0,CF
253,CF,3182.6233605629773,PAg2
254,CF,3195.507713194677,PAg1
255,CF,2886.469566454616,PAl
256,CF,2895.1103281750216,PAg3
257,CF,17660.793284831263,PH
258,CF,18351.817450595972,PK
259,CF,11711.332523045128,PP
260,PAg2,14286.274902053445,PR2
261,PAg2,16353.02816357749,PR1
262,PAg2,11984.563676059433,PAr
263,PAg2,28366.15546918186,EC
264,PAg2,2002.709232291064,EL
265,PAg2,1958.386314399429,LA
266,PAg2,2258.650764193982,RP2
267,PAg2,2554.7324140974774,RP1
268,PAg2,2275.6988936472108,EA
269,PAg2,2623.7916946426676,SF1
270,PAg2,2410.6099381719014,BI
271,PAg2,3331.3060113558145,KA
272,PAg2,3182.6233605629773,CF
273,PAg2,0.0,PAg2
274,PAg2,2719.275475485617,PAg1
275,PAg2,2447.504038675895,PAl
276,PAg2,1902.8680849346438,PAg3
277,PAg2,17110.65276504812,PH
278,PAg2,18879.69784490023,PK
279,PAg2,11086.965654674928,PP
280,PAg1,13794.446697304244,PR2
281,PAg1,15374.457373035577,PR1
282,PAg1,11517.316285299188,PAr
283,PAg1,27182.274436840555,EC
284,PAg1,2770.8588537398027,EL
285,PAg1,2908.8428174382193,LA
286,PAg1,2872.20829704289,RP2
287,PAg1,2608.5250565422803,RP1
288,PAg1,3506.637611566845,EA
289,PAg1,4227.819253262077,SF1
290,PAg1,3175.9135324085782,BI
291,PAg1,3005.881209347566,KA
292,PAg1,3195.507713194677,CF
293,PAg1,2719.275475485617,PAg2
294,PAg1,0.0,PAg1
295,PAg1,3259.140514656487,PAl
296,PAg1,1540.7406667254431,PAg3
297,PAg1,16447.552969384717,PH
298,PAg1,18075.244874774402,PK
299,PAg1,10765.229757323097,PP
300,PAl,14896.316054250632,PR2
301,PAl,16586.17154457984,PR1
302,PAl,12325.771549130559,PAr
303,PAl,28022.77603543453,EC
304,PAl,1781.2160463731473,EL
305,PAl,1947.9955083144575,LA
306,PAl,1478.6286884390447,RP2
307,PAl,1928.982981430007,RP1
308,PAl,2178.887780962288,EA
309,PAl,2220.970440139498,SF1
310,PAl,2049.3442377584183,BI
311,PAl,2788.101723700333,KA
312,PAl,2886.469566454616,CF
313,PAl,2447.504038675895,PAg2
314,PAl,3259.140514656487,PAg1
315,PAl,0.0,PAl
316,PAl,2420.6375224772896,PAg3
317,PAl,17852.53140111995,PH
318,PAl,19191.196992670353,PK
319,PAl,11466.706972519894,PP
320,PAg3,14485.236308400841,PR2
321,PAg3,16081.98966482459,PR1
322,PAg3,11995.673671796376,PAr
323,PAg3,27938.42140501459,EC
324,PAg3,1897.8022124789302,EL
325,PAg3,1789.14134171119,LA
326,PAg3,1995.791350669588,RP2
327,PAg3,2083.5674293693564,RP1
328,PAg3,2286.8098201695025,EA
329,PAg3,2982.9602104315277,SF1
330,PAg3,2295.5000785745583,BI
331,PAg3,2930.127122828121,KA
332,PAg3,2895.1103281750216,CF
333,PAg3,1902.8680849346438,PAg2
334,PAg3,1540.7406667254431,PAg1
335,PAg3,2420.6375224772896,PAl
336,PAg3,0.0,PAg3
337,PAg3,17072.52626378604,PH
338,PAg3,18914.287296093185,PK
339,PAg3,10916.639717526798,PP
340,PH,11185.054716323275,PR2
341,PH,13218.330684475051,PR1
342,PH,11219.804069447551,PAr
343,PH,28891.76567557784,EC
344,PH,17574.575491225918,EL
345,PH,17911.49960311636,LA
346,PH,17972.29297703809,RP2
347,PH,17579.76636455664,RP1
348,PH,18112.744959616153,EA
349,PH,18823.50001626294,SF1
350,PH,18310.78202063494,BI
351,PH,17713.57150704901,KA
352,PH,17660.793284831263,CF
353,PH,17110.65276504812,PAg2
354,PH,16447.552969384717,PAg1
355,PH,17852.53140111995,PAl
356,PH,17072.52626378604,PAg3
357,PH,0.0,PH
358,PH,15391.277990867975,PK
359,PH,12830.137510970739,PP
360,PK,15966.983781232577,PR2
361,PK,11763.985233405096,PR1
362,PK,12570.270651479004,PAr
363,PK,24438.817547489005,EC
364,PK,18733.547715895198,EL
365,PK,19252.873742536234,LA
366,PK,19422.540244956104,RP2
367,PK,18895.514991582353,RP1
368,PK,19674.026852092844,EA
369,PK,20221.06623832296,SF1
370,PK,19372.305250234775,BI
371,PK,18182.63470661779,KA
372,PK,18351.817450595972,CF
373,PK,18879.69784490023,PAg2
374,PK,18075.244874774402,PAg1
375,PK,19191.196992670353,PAl
376,PK,18914.287296093185,PAg3
377,PK,15391.277990867975,PH
378,PK,0.0,PK
379,PK,16323.634342610381,PP
380,PP,12099.175801464602,PR2
381,PP,11984.896607345005,PR1
382,PP,8695.764951927276,PAr
383,PP,29078.830255045876,EC
384,PP,11309.01193525339,EL
385,PP,11559.034080653213,LA
386,PP,11727.754019820024,RP2
387,PP,11615.722726749675,RP1
388,PP,11459.550205699135,EA
389,PP,12171.394052536147,SF1
390,PP,11878.462030346196,BI
391,PP,11915.959148206544,KA
392,PP,11711.332523045128,CF
393,PP,11086.965654674928,PAg2
394,PP,10765.229757323097,PAg1
395,PP,11466.706972519894,PAl
396,PP,10916.639717526798,PAg3
397,PP,12830.137510970739,PH
398,PP,16323.634342610381,PK
399,PP,0.0,PP
