,labeledStrain,env,monoGrow
164,EA,Rhamnose,7.220657898733862
165,EA,Fructose,521.7964586054969
166,EA,Galactose,661.7603176591674
167,EA,Glucose,333.7693988697732
168,EA,Glucose01,16.178330351985892
169,EA,Mannose,422.9844662631202
170,EA,GlcNAc,646.9655599847805
171,EA,Acetate,23.4554200532408
172,EA,Pyruvate,75.28887082608401
173,EA,Pyruvate01,43.23000149854511
174,EA,Fumarate,203.48678164783507
175,EA,Succinate,248.53041382742845
176,EA,Citrate,214.9885723501864
177,EA,Glycerol,1061.2700794387836
178,EA,Glycerol01,47.515844207458144
179,EA,Mannitol,262.5443409386405
180,EA,Sorbitol,4.347509531960782
181,EA,Alanine,160.60569965865466
182,EA,Serine,18.908394531433032
183,EA,Proline,766.5436087894855
184,EA,Proline01,46.98386014595383
185,EA,Glutamine,342.5502968266659
186,EA,Arginine,-3.12810254878616
187,EA,Trehalose,394.56303157889135
188,EA,Cellobiose,520.4307371032206
189,EA,Maltose,243.4806524697841
190,EA,Sucrose,4.259834761922548
191,EA,Sucrose01,-11.634797627665534
192,EA,Lactose,379.8898535740717
193,EA,Raffinose,-2.6006828248710008
194,EA,Melezitose,2.256209672159571
195,EA,Arabinogalactan,9.484049303465213
196,EA,Isoleucine,-5.384474605212404
197,EA,Uridine,109.34115218839008
198,EA,Mix,221.24113723335967
199,EA,Water,0.0
200,CF,ArabinoseD,-1.9259215677370776
201,CF,ArabinoseL,1534.5810702047029
202,CF,Xylose,1304.6967927191508
203,CF,Ribose,782.4854092376129
204,CF,Rhamnose,664.1993231914194
205,CF,Fructose,1011.4918077243816
206,CF,Galactose,1077.7202061975229
207,CF,Glucose,735.1202855434246
208,CF,Glucose01,42.66451087855398
209,CF,Mannose,1175.7647667374013
210,CF,GlcNAc,1057.5853939272492
211,CF,Acetate,48.77976748724189
212,CF,Pyruvate,635.6093353626339
213,CF,Pyruvate01,45.34091896706445
214,CF,Fumarate,5.761601495826199
215,CF,Succinate,-9.087702128839624
216,CF,Citrate,316.75170970254203
217,CF,Glycerol,197.98149223444705
218,CF,Glycerol01,144.90045341206223
219,CF,Mannitol,554.4089085866693
220,CF,Sorbitol,1034.0864407058634
221,CF,Alanine,975.381327158732
222,CF,Serine,174.73086825444352
223,CF,Proline,88.4273671170181
224,CF,Proline01,146.89526183667624
225,CF,Glutamine,1528.5642943480268
226,CF,Arginine,-2.536472294135933
227,CF,Trehalose,999.1380042426632
228,CF,Cellobiose,860.8079015420565
229,CF,Maltose,1006.3267651377644
230,CF,Sucrose,-4.385189410781095
231,CF,Sucrose01,-7.15720536227343
232,CF,Lactose,1361.0015341365731
233,CF,Raffinose,4.499490693636403
234,CF,Melezitose,8.151380171440906
235,CF,Arabinogalactan,12.201333694988762
236,CF,Isoleucine,-8.448159848339287
237,CF,Uridine,116.8676205525186
238,CF,Mix,730.2603759669266
239,CF,Water,0.0
240,PAg3,ArabinoseD,4.516500578433579
241,PAg3,ArabinoseL,344.5611369236826
242,PAg3,Xylose,209.5249104966249
243,PAg3,Ribose,535.830632984478
244,PAg3,Rhamnose,786.7023847931885
245,PAg3,Fructose,743.3401757535387
246,PAg3,Galactose,790.379036232097
247,PAg3,Glucose,585.680961796183
248,PAg3,Glucose01,70.99460606385094
249,PAg3,Mannose,1111.2610655637634
250,PAg3,GlcNAc,1051.1918136253337
251,PAg3,Acetate,14.376613307436171
252,PAg3,Pyruvate,651.1091540741957
253,PAg3,Pyruvate01,88.63189631226646
254,PAg3,Fumarate,351.67781902878187
255,PAg3,Succinate,455.9295555396863
256,PAg3,Citrate,306.95471266519746
257,PAg3,Glycerol,1276.4308222558664
258,PAg3,Glycerol01,107.96182082297332
259,PAg3,Mannitol,825.1312567990807
260,PAg3,Sorbitol,35.49741676253484
261,PAg3,Alanine,933.69105302476
262,PAg3,Serine,79.13053283609906
263,PAg3,Proline,195.0013551211448
264,PAg3,Proline01,120.2425001247624
265,PAg3,Glutamine,1141.2171727380403
266,PAg3,Arginine,25.83393484045644
267,PAg3,Trehalose,740.2552927410661
268,PAg3,Cellobiose,1170.6965814616203
269,PAg3,Maltose,522.1737771323817
270,PAg3,Sucrose,698.0951736413134
271,PAg3,Sucrose01,76.56159125392276
272,PAg3,Lactose,13.48396173173512
273,PAg3,Raffinose,-8.37847984429527
274,PAg3,Melezitose,10.002373204948071
275,PAg3,Arabinogalactan,24.65192185247793
276,PAg3,Isoleucine,8.128067046718343
277,PAg3,Uridine,42.21050896169538
278,PAg3,Mix,528.9336150418995
279,PAg3,Water,0.0
280,PAg2,ArabinoseD,126.97859697104708
281,PAg2,ArabinoseL,432.1061676566719
282,PAg2,Xylose,302.4273429580352
283,PAg2,Ribose,758.3648226280689
284,PAg2,Rhamnose,548.7011543895931
285,PAg2,Fructose,563.4959264312736
286,PAg2,Galactose,191.94457500279637
287,PAg2,Glucose,478.1243024932767
288,PAg2,Glucose01,47.33732913571271
289,PAg2,Mannose,1221.1219012571746
290,PAg2,GlcNAc,1005.0753830682496
291,PAg2,Acetate,-7.310689033648941
292,PAg2,Pyruvate,995.5846006263226
293,PAg2,Pyruvate01,136.69400988404266
294,PAg2,Fumarate,453.28944760245406
295,PAg2,Succinate,473.1468786649255
296,PAg2,Citrate,-9.039451639380218
297,PAg2,Glycerol,569.8125852713383
298,PAg2,Glycerol01,74.37183852954206
299,PAg2,Mannitol,609.3090913250005
300,PAg2,Sorbitol,-0.2639219386379636
301,PAg2,Alanine,335.2666953437256
302,PAg2,Serine,6.011328386765399
303,PAg2,Proline,947.988848674766
304,PAg2,Proline01,96.36706301780714
305,PAg2,Glutamine,1077.7437501580746
306,PAg2,Arginine,-9.806848214766774
307,PAg2,Trehalose,843.1642308204579
308,PAg2,Cellobiose,28.16259946381149
309,PAg2,Maltose,586.107180079782
310,PAg2,Sucrose,855.1889565525504
311,PAg2,Sucrose01,50.645713919589184
312,PAg2,Lactose,-5.62753345736985
313,PAg2,Raffinose,-11.3022291892579
314,PAg2,Melezitose,-6.575635734373464
315,PAg2,Arabinogalactan,11.0600527119999
316,PAg2,Isoleucine,-9.821734235028316
317,PAg2,Uridine,0.4677483730848735
318,PAg2,Mix,571.5566980405868
319,PAg2,Water,0.0
320,PR1,ArabinoseD,-3.5939207366567416
321,PR1,ArabinoseL,6057.1360584409085
322,PR1,Xylose,185.04421720679784
323,PR1,Ribose,975.676944269573
324,PR1,Rhamnose,38.58599780895395
325,PR1,Fructose,4403.619744319399
326,PR1,Galactose,4680.790454988842
327,PR1,Glucose,3969.228555777459
328,PR1,Glucose01,1052.1301122406842
329,PR1,Mannose,1580.3433416682797
330,PR1,GlcNAc,1374.379964328385
331,PR1,Acetate,2329.7899379254272
332,PR1,Pyruvate,3770.414117007568
333,PR1,Pyruvate01,457.8032778662946
334,PR1,Fumarate,2981.636333862584
335,PR1,Succinate,3249.356550852738
336,PR1,Citrate,2584.59540383543
337,PR1,Glycerol,6832.95640361696
338,PR1,Glycerol01,1492.4440084985415
339,PR1,Mannitol,4053.2117162241543
340,PR1,Sorbitol,3902.21250280956
341,PR1,Alanine,3232.9842082327064
342,PR1,Serine,1948.000053271361
343,PR1,Proline,6122.050089886902
344,PR1,Proline01,1045.4398035517866
345,PR1,Glutamine,4344.536127849506
346,PR1,Arginine,2416.2071947492664
347,PR1,Trehalose,4153.615196323673
348,PR1,Cellobiose,34.2627889749607
349,PR1,Maltose,21.629411698098693
350,PR1,Sucrose,17.02002095311957
351,PR1,Sucrose01,4.610364083814716
352,PR1,Lactose,-5.298528337634821
353,PR1,Raffinose,-30.89456106994373
354,PR1,Melezitose,0.3094501609900817
355,PR1,Arabinogalactan,250.3537681528527
356,PR1,Isoleucine,3303.4178093737896
357,PR1,Uridine,854.7250761913813
358,PR1,Mix,2697.4000172306087
