labeledStrain,env,monoGrow
CF,GlcNAc,1057.585394
CF,Acetate,48.77976749
CF,Pyruvate,603.467062
CF,Pyruvate01,45.34091897
CF,Fumarate,5.761601496
CF,Succinate,-9.087702129
CF,Citrate,316.7517097
CF,Glycerol,197.9814922
CF,Glycerol01,144.9004534
CF,Mannitol,555.8016092
CF,Sorbitol,1034.086441
CF,Alanine,975.3813272
CF,Serine,149.9287481
CF,Proline,88.42736712
CF,Proline01,146.4287716
CF,Glutamine,1528.564294
CF,Arginine,-2.536472294
CF,Trehalose,999.1380042
CF,Cellobiose,860.8079015
CF,Maltose,1006.326765
CF,Sucrose,-4.385189411
CF,Sucrose01,-8.971865781
CF,Lactose,1305.598027
CF,Raffinose,4.499490694
CF,Melezitose,8.151380171
CF,Arabinogalactan,12.20133369
CF,Isoleucine,-8.448159848
CF,Uridine,116.8676206
CF,Mix,730.260376
CF,Water,0
PAg3,ArabinoseD,4.361506134
PAg3,ArabinoseL,347.5523889
PAg3,Xylose,220.336616
PAg3,Ribose,538.8218849
PAg3,Rhamnose,790.360135
PAg3,Fructose,746.3314277
PAg3,Galactose,778.6573408
PAg3,Glucose,588.6722137
PAg3,Glucose01,76.33534831
PAg3,Mannose,1065.251128
PAg3,GlcNAc,1042.324145
PAg3,Acetate,24.22620584
PAg3,Pyruvate,661.4082078
PAg3,Pyruvate01,90.97960709
PAg3,Fumarate,338.5365706
PAg3,Succinate,446.5607614
PAg3,Citrate,289.1242659
PAg3,Glycerol,1178.417055
PAg3,Glycerol01,110.9530728
PAg3,Mannitol,828.1225088
PAg3,Sorbitol,36.48683648
PAg3,Alanine,937.5094767
PAg3,Serine,83.09469263
PAg3,Proline,197.9926071
PAg3,Proline01,123.2337521
PAg3,Glutamine,1138.356511
PAg3,Arginine,28.82518679
PAg3,Trehalose,743.2465447
PAg3,Cellobiose,1174.340108
PAg3,Maltose,525.2354237
PAg3,Sucrose,686.7711897
PAg3,Sucrose01,67.3341732
PAg3,Lactose,15.95450389
PAg3,Raffinose,-5.387227892
PAg3,Melezitose,13.64460335
PAg3,Arabinogalactan,27.6431738
PAg3,Isoleucine,11.119319
PAg3,Uridine,45.20176091
PAg3,Mix,533.7454896
PAg3,Water,0
PAg2,ArabinoseD,121.5171036
PAg2,ArabinoseL,425.4960732
PAg2,Xylose,302.7197644
PAg2,Ribose,758.6572441
PAg2,Rhamnose,578.6117607
PAg2,Fructose,530.6003674
PAg2,Galactose,192.2369965
PAg2,Glucose,453.7119951
PAg2,Glucose01,47.62975059
PAg2,Mannose,1155.821936
PAg2,GlcNAc,984.150889
PAg2,Acetate,-7.018267575
PAg2,Pyruvate,994.957644
PAg2,Pyruvate01,134.6413267
PAg2,Fumarate,445.5109856
PAg2,Succinate,456.2619447
PAg2,Citrate,-8.747030181
PAg2,Glycerol,570.1050067
PAg2,Glycerol01,71.71811947
PAg2,Mannitol,608.4348236
PAg2,Sorbitol,-1.069269825
PAg2,Alanine,338.0499534
PAg2,Serine,6.303749846
PAg2,Proline,902.3713508
PAg2,Proline01,96.65948448
PAg2,Glutamine,1078.036172
PAg2,Arginine,-9.644685513
PAg2,Trehalose,838.9801455
PAg2,Cellobiose,24.65506664
PAg2,Maltose,582.3696126
PAg2,Sucrose,854.9095487
PAg2,Sucrose01,41.46740938
PAg2,Lactose,-7.070839856
PAg2,Raffinose,-11.00980773
PAg2,Melezitose,-6.283214276
PAg2,Arabinogalactan,11.28260577
PAg2,Isoleucine,-9.529312776
PAg2,Uridine,-3.156556459
PAg2,Mix,561.0676133
PAg2,Water,0
PR1,ArabinoseD,-37.40887495
PR1,ArabinoseL,5955.614889
