,index,nrmse,nrmse_null,nrmse_with_mono,nrmse_without_mono,nrmse_copy_model
0,Acetate,0.34182302734228487,1.0490483060580433,0.6677759799909089,0.9300856280529917,1.5091513370593592
1,Alanine,0.6187421987709232,1.179651361907029,0.725120612712241,1.0069609010868141,0.9975631381018047
2,Arabinogalactan,0.5022234472689209,1.0103629873498556,1.4393151649942286,1.7468365583660688,1.2310041351521384
3,ArabinoseD,0.8273939962455852,1.4941549889405954,0.9233176483398153,1.0596981831000465,1.0685078065031133
4,ArabinoseL,0.27143112160745997,1.0346909858942428,0.36734469135341213,0.8961483106004058,0.8023553024613802
5,Arginine,0.4761433925470627,1.2220770659811893,0.5527110817206613,0.9604606611532326,0.7197685596885729
6,Cellobiose,0.2622920153074795,1.097378737230586,0.4350830457380937,0.8548266633938624,0.9875142999623485
7,Citrate,0.45049662338508795,1.119706903425379,0.5955258888905329,1.0858437168976314,1.2084872871743286
8,Fructose,0.40743164216215855,1.1985375456733183,0.5017660308611437,0.8558152587057266,1.3897982988404993
9,Fumarate,0.3154543327945034,1.0214254229466215,0.4817296160701202,0.6900289377768982,0.5358910544126358
10,Galactose,0.36209862841097346,1.112707162709475,0.42306981386297954,0.5964893093758539,0.8938501658936367
11,GlcNAc,0.2842176964798822,1.0004265044992107,0.3819486064228596,0.7302211374076221,0.8764454857599298
12,Glucose,0.5178616458093337,1.0844244350800951,0.8109879174690839,0.7200185801129884,0.776588277623013
13,Glucose01,0.46659372473550714,1.1368305126445757,0.690514264185796,0.6196535173532608,1.0479995929376773
14,Glutamine,0.32872103774003947,1.001735651107059,0.5540294636744979,1.0324986706875325,1.4393430827773432
15,Glycerol,0.3630826316872383,1.0772816461108297,0.7559562017468092,0.8147074011468544,0.8728682222067946
16,Glycerol01,0.4364918247788118,1.1485218719395935,0.9413173297140415,1.0239827612147865,1.363368738355736
17,Isoleucine,0.36151145476453167,1.167174212973726,0.5053350350642454,0.861258131139412,0.9128958787843594
18,Lactose,0.3136073088623611,1.027760211087922,0.5348941177216756,1.1416410804462975,1.1480378778612401
19,Maltose,0.3276442042918534,1.0078952361420097,0.43985109903567354,0.6050831972072845,0.6877724057796626
20,Mannitol,0.2312637553835543,1.0029243982722982,0.37151423049760113,0.660867949342203,1.0484096880697675
21,Mannose,0.38377318149540507,1.0990799691338482,0.5317192814111341,1.2252648651039175,1.3908184558106198
22,Melezitose,1.0790744878380323,1.6163345464344587,1.3469402121258953,1.290967460974844,1.0065727629411318
23,Mix,0.4161075458156766,1.2968066105149463,0.6258806114222218,1.0835931907466463,1.4930998305175534
24,Proline,0.39853791142649214,1.017555004526009,0.641691516777508,1.1573544454085316,0.9368897365290354
25,Proline01,0.5554888355552142,1.0923887569998045,0.9502726437732738,1.0422113793942998,1.741519674418418
26,Pyruvate,0.4860867260345748,1.132436288473909,0.5953191549576793,0.7781880345149581,0.7879773840864276
27,Pyruvate01,0.5143885867616991,1.0665104593765007,0.8895207442702303,1.0988010242638504,0.8654370462020168
28,Raffinose,0.28486793157600215,1.2316738410854888,0.5187030534400772,1.0929157152509037,1.5466883875872386
29,Rhamnose,0.390866805265468,1.0295769646977424,0.5022594813350555,0.6043908876132388,0.647738082056462
30,Ribose,0.5469261076740495,1.0150118450619665,0.6039724125973291,0.9190511407809033,1.1021259792644735
31,Serine,0.4980295707736218,1.1717010437297413,0.6982736245508712,1.413045145542238,1.286896766530992
32,Sorbitol,0.317059663323998,1.0795820316317857,0.3373663073416492,1.071094209446823,0.9100114916358162
33,Succinate,0.3062202299893861,1.0115106024162592,0.4928009848894675,0.8868377906392155,0.48973720188010483
34,Sucrose,0.4187870987311992,1.061030453689821,0.39681868989880636,1.076062647088095,1.4325499078284931
35,Sucrose01,0.7872342864350541,1.075008683562023,1.0177742805684338,1.890793938053683,1.258722757604965
36,Trehalose,0.35232353086973,1.0044641926450888,0.3260013118147406,0.690790695897516,0.9337968670145085
37,Uridine,0.6222721745869154,1.1320907257414479,1.1453733490616664,1.0973542460826744,1.54708959967831
38,Xylose,0.4601546611120465,1.0000007328811977,0.653328881948407,0.9644987638219016,0.777761940920195
