,y_train
10926,0.0
2071,-0.644871735
1490,2.168611955
7808,-0.434114924
3157,-3.223798792
11054,-0.436753353
4639,-0.418511831
4321,-0.521348483
6572,0.186801658
9175,-0.111715931
5170,2.759928584
8723,-2.733367965
7059,-0.264245769
12479,-0.698160976
11005,-0.894351945
2681,-0.534271664
8608,-0.2037127
9202,-0.459260185
11738,0.191340342
4488,-2.774906185
14706,0.0
9337,-0.656767371
9304,-0.074432996
2224,0.0
11622,-0.17440223
15322,-0.119521231
5701,-1.446232659
4144,0.0
6639,-1.009245191
1041,0.261552108
354,-0.944900219
12194,-0.633666025
10782,-0.427296591
9843,0.141195605
8525,2.867444541
3845,3.839054373
6720,-1.059755574
2699,0.0
13354,-0.08935559
11268,-1.985831356
14221,0.02501356
9698,1.549542814
1269,-0.563647045
6542,-0.017434506
612,0.93434644
9380,0.0
12428,-0.000757181
12338,-0.462235241
9806,-1.864261933
11433,-0.337252871
9364,0.0
1528,0.0
10415,0.0
8000,-0.530084092
10778,0.275571694
6936,0.042809779
2424,0.0
3969,-0.654568681
10680,-1.772991931
10137,0.0
13620,0.986615585
7839,-2.369226383
8310,-0.540323936
7759,-1.266583008
14685,0.083504456
5041,-0.659211493
4923,-0.920645149
13256,2.087574267
7651,-1.122679619
5009,0.0
13031,0.0
13005,-0.713767904
862,-0.233600954
8277,-4.35064878
10100,0.0
8226,0.0
8792,-0.682917301
14337,3.08448763
8083,-0.441365306
8033,-0.165447007
6123,2.169036449
7559,-1.246574435
12171,0.0
566,-0.484561213
7335,-1.009199279
7005,-0.382799354
10466,0.0
5147,-4.80936217
910,-1.765096829
8682,-1.735979878
1607,-0.084319499
6069,-0.161084532
15467,0.0
5342,0.634711515
5746,0.0
15417,-2.112588572
5760,-0.774033113
14620,-0.86405825
11895,-0.57773158
922,0.0
9295,0.070601038
6687,-0.138891522
14927,-0.604948511
13042,0.0
7208,-0.353775541
13990,0.0
4156,-0.245832559
76,-0.098360556
9507,0.039601416
5609,2.048224321
5282,-0.503230517
4590,0.0
6083,-0.182564221
5947,0.406957451
5501,-1.334756739
10223,0.15301781
6698,2.039324104
4510,0.0
13412,-2.166662671
11969,1.507016727
786,-0.234060702
4571,-0.120755719
2722,-0.315461366
10845,-0.632596096
11994,-0.99612556
3139,-0.359663711
6024,-1.024082511
6339,-0.067546766
13931,0.0
1613,-0.765663369
4041,-0.490678136
8353,-0.243718334
9752,0.061664573
1884,-1.455824351
15156,0.0
181,0.0
10010,0.026944406
7825,1.001270168
14319,-1.077669608
15155,0.0
7176,-0.701372677
13636,0.0
10281,-0.221748487
11114,-1.393929455
5090,-1.441721738
4680,0.0
2841,0.0
1509,-0.179702722
3767,2.726229555
2591,-0.756435096
12954,0.0
10147,-2.74666881
7510,-3.32137329
4378,0.0
6819,0.093273139
2636,-0.063716506
10270,0.564500442
4222,0.0
2373,0.0
2328,-0.072543527
13119,1.361116789
1989,-0.016787751
3103,-0.715297962
13540,0.102557427
14740,-0.184750263
6342,1.627711541
7042,-1.086577329
4646,0.042823552
7595,1.059674828
9980,0.087460095
3550,-0.431462916
8171,-0.722349354
2264,0.0
15283,-0.033984858
8791,-0.701166361
9421,0.0
14461,1.689363816
6473,-0.19228127
2467,-0.949923362
3761,1.310714791
7785,0.0
9479,-0.177724234
13643,-3.185729108
1522,0.061004531
4479,-0.51448861
3758,3.810537294
10712,-0.117659713
9213,-0.019190907
1969,1.061573109
1067,-0.049586799
1133,-0.425271801
4088,-0.722553248
14774,-2.037548298
3659,-0.136840733
6685,0.0
8112,-1.511109294
10928,-2.035496653
10689,-0.003606806
10805,0.645659211
7051,-3.101888815
11214,2.295000241
12868,-0.04394825
2865,3.557768651
5369,2.302774016
15312,0.0
14248,3.182447848
9407,-0.167039112
1529,-0.498022792
7589,-2.56835677
8010,0.58969171
11188,0.0
5870,-1.326607272
10442,0.622092619
6265,0.097329876
3707,0.033620071
15331,-1.936610928
1050,-0.122871088
8070,-0.033545547
14051,0.0
12463,-0.43380297
3499,-0.775891712
2392,-1.437345792
1468,-0.038691722
7103,-0.298786256
13906,0.0
3810,-0.836720183
639,-0.342025246
5794,0.002642203
13709,-1.469277787
1585,0.183811939
4054,1.411227517
4398,-1.246906504
10487,-0.876533211
11228,0.0
1673,0.0
13829,-3.307151459
5699,-0.895150803
6881,0.0
4123,-0.429504622
4887,-0.628589019
2889,3.871244788
3654,0.213903806
3127,0.0
13188,0.0
14437,-2.266882484
3075,-0.371468495
12431,-1.029471144
13366,-0.455201877
10914,1.567201347
13432,-0.207132926
6310,-0.708974226
893,-0.200652727
2297,-0.511421036
230,-0.415623792
4120,-0.481396113
362,1.591367636
9230,-0.343576147
9886,4.736349019
7982,0.0
1978,0.0
9711,-1.333404943
464,0.0
2926,-0.200754038
10553,0.0
14582,-2.128199019
6811,-0.334724819
7662,3.38866949
10019,0.288253258
9371,0.0
1448,2.963426336
3204,0.134506218
12587,-0.944996408
7889,0.134160867
10358,-0.18882045
2020,-4.216802345
3794,2.945460324
12414,0.0
6023,2.933726003
9023,-1.310280459
7432,0.0
13789,-0.525496014
10422,1.311722245
3009,2.350662342
3438,1.57215102
12256,-2.199906502
7159,-0.1970446
6168,-2.077593593
24,0.0
15267,0.0
560,-0.53872815
7359,-1.167671234
217,-0.113641072
12623,-1.107065558
10145,-0.5467075
11917,-1.55809862
11991,0.0
6563,0.0
15071,0.237321857
6302,-0.154599062
10997,-1.345200504
12247,0.0
4301,0.0
9432,0.653895546
15024,0.361607653
14183,-0.065254809
9817,-0.075498698
6903,-0.229479064
4030,-0.902241826
2875,-0.177614357
325,-1.239893334
13531,1.48010794
11932,0.18288112
2252,-0.2496602
10191,-0.894908327
2470,-1.216429226
2188,-0.682469007
7205,-0.717139682
6597,-0.676065688
4158,0.0
1298,-0.12395703
9860,0.116063245
14354,-1.351070804
5083,-1.474956965
6901,2.727443911
13107,0.0
12437,0.0
3362,-0.257880038
6079,-0.525868333
4876,-1.027975373
7703,0.11329304
1441,-0.78585347
13391,-0.451050648
6623,-0.41301825
715,-0.312063673
7255,-0.291538463
5780,-0.67849468
1903,-0.163589375
10567,-4.161240724
13863,-1.051378938
6692,-4.315738706
5895,-2.212664662
4705,0.0
8144,-1.056207481
3168,0.0
8658,-0.62672568
6516,-0.33699766
5732,0.0
3025,-0.766241933
7856,2.492195648
318,-0.305408133
7112,0.0
9343,-0.220172085
2042,-0.129067211
11899,-2.131054947
9878,0.121007368
11862,2.005310323
1421,-0.017971914
3392,0.912458197
9671,0.152078691
4742,2.949024051
6672,0.467626779
4523,-0.760861587
173,-0.37648043
13226,-0.164581696
2513,-0.311556066
12093,0.0
1395,3.465199479
9515,-0.039140605
10045,-0.050641864
5343,1.8508696
8015,-0.370244185
8517,2.921457466
15098,-0.813944192
14787,4.672695302
319,-0.589924262
13263,0.183816634
8787,0.172443379
9813,-1.425113639
9900,0.989568928
7054,-0.017436846
2321,0.0
3597,0.753243345
10890,0.0
9456,0.0
11239,0.0
1261,-0.579218706
11667,0.0
1718,-1.303391815
5597,-2.051751462
2259,2.184577674
3439,-1.318547642
8679,-0.361286278
10581,2.495542123
7724,0.063394889
6146,-0.053651372
342,2.653179415
11567,0.0
10192,-0.523424911
10112,0.0
9518,0.049052703
9016,-1.139504771
8982,-0.65133674
4072,-0.766399446
4140,0.611074165
9533,0.0
12073,-0.579094225
6653,0.346705566
8091,0.671088976
5988,-0.454219378
6127,-2.263904781
1280,0.0
8444,-0.185948878
2782,-6.086493147
2893,0.031226081
3176,-0.835804542
3141,1.015361485
7810,-0.146173571
7704,0.0
2001,-4.750777756
8661,-0.912924334
10157,-0.950376384
1274,0.0
14618,1.765702788
5274,-0.169321888
10048,-0.198568337
14664,-1.534087764
2815,0.0
11482,0.0
9642,-0.403953545
6392,-0.321711072
11586,-0.24838582
7423,0.0
14887,-1.232057655
8074,-0.351301676
11410,-0.720448912
7552,1.465509604
4968,-0.20795984
6506,-0.150333256
10212,0.113547504
2845,-0.696930871
10488,0.170033166
9069,0.0
3272,0.0
3096,-0.266160452
287,-0.232453151
10059,0.0
11083,-0.233113767
3602,-0.632101288
9767,0.046013039
5978,-0.019008907
10321,0.732253593
1323,-1.126584143
8150,-0.253459069
2136,-0.041153404
14130,-0.533587475
7154,0.0
865,-0.455936884
4359,-4.824390913
14925,-0.961848621
396,-0.558283839
299,0.130162634
9787,-0.183375399
3675,4.213494933
4034,0.0
12032,-1.054440581
1704,0.051017087
1975,1.728373374
10128,0.0
8727,0.956759943
8709,-0.275750268
5633,-1.710946257
3861,-2.356705254
10861,0.0
7720,0.35601025
894,-0.984110256
7641,0.033356204
1882,-0.521086791
13459,0.538922487
5636,-1.072207145
8547,4.086750519
6388,-0.178342168
5108,-1.744938267
3643,0.252906433
9942,-0.663492998
2654,2.109754491
8970,-0.884559108
10610,-0.036313987
4508,-0.332003155
11885,-0.556589143
8595,0.0
10704,0.18524903
5919,0.0
6535,-0.044535143
1849,1.42623848
13021,-0.950404691
6061,-1.401085058
12221,-2.428831003
11727,-0.2589947
9715,0.263916478
6290,1.492530503
6579,-0.30950224
4809,-1.43164313
7024,0.0
14111,-0.585816817
6437,-0.855753389
7504,0.0
1828,0.219165913
15451,-1.248221895
65,2.154930321
4674,0.0
1210,0.0
4392,0.310603825
2168,-1.591538068
7841,0.729380446
4386,2.579614424
11471,-0.236580719
1029,0.023608407
2911,0.499166691
10484,0.0
956,-0.465811029
12496,-0.416303798
3966,0.207250594
13583,-0.667529445
12402,2.318988991
11059,0.0
9176,0.054280061
10143,-0.788356876
14977,3.617547457
2873,-0.188130541
939,0.52222788
10959,-2.924927818
4254,-1.24233683
6696,-3.757693011
7454,0.871566734
7088,-1.132062371
5602,0.0
9571,0.0
15338,-1.235164385
12107,-1.889021778
2258,3.09687725
14902,-1.064110549
15463,0.0
5991,-1.068783913
4529,-2.009802386
15146,0.68081201
12816,1.808851803
374,0.0
7362,0.720913965
13878,-1.701101331
