,Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
35,PR2,CF,Acetate,0.0,-0.01006128,1795.25373,14505.99229,48.77976749,-150.55169427018336,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.6398755564620169,0.0056531287404293,-0.7747391645761742,0.0463737318058709
36,PH,CF,Acetate,0.907723046,-0.082227227,2146.296509,17670.47326,48.77976749,-98.5758698521746,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.675692322398025,0.0107785747182994,-0.7747391645761742,0.0463737318058709
37,PAg2,EA,Acetate,0.430301589,0.357600139,-7.018267575,2244.710436,32.21086994,-10.611096590468604,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6309041661015486,-0.2015744697433372,-0.7286059140580324,0.2582533144674926
38,PAg1,EA,Acetate,-0.129067211,0.043704416,15.02481971,3459.803524,32.21086994,-57.56457651623623,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6443154712889336,-0.2220118218825399,-0.7286059140580324,0.2582533144674926
39,PAg3,EA,Acetate,-0.154193833,0.0,24.22620584,2265.106137,32.21086994,6.493217606349957,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5989515583467925,-0.2484610553238693,-0.7286059140580324,0.2582533144674926
40,LA,EA,Acetate,0.216467447,0.564500442,76.19412972,1939.310787,32.21086994,-8.179287724208619,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7710003090347234,0.0770753917642925,-0.7286059140580324,0.2582533144674926
41,EL,EA,Acetate,1.012780868,-0.16115357,337.8699023,1969.101009,32.21086994,-16.594884980789743,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7347306548489613,-0.0440939376470185,-0.7286059140580324,0.2582533144674926
42,RP2,EA,Acetate,1.688795732,-0.72250482,224.9884616,1895.844175,32.21086994,18.57815977595305,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7928518257374005,0.1173580381058817,-0.7286059140580324,0.2582533144674926
43,RP1,EA,Acetate,1.609047821,-0.04458801,374.4295474,2586.492627,32.21086994,-44.06677434238349,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.796280534436652,0.1132262738115668,-0.7286059140580324,0.2582533144674926
44,SF1,EA,Acetate,-0.163005821,0.035468226,7.755480413,1673.003795,32.21086994,-17.622735918709964,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7354472493977712,0.2471410927598533,-0.7286059140580324,0.2582533144674926
45,KA,EA,Acetate,-0.130117238,1.184790261,86.05120162,3501.902935,32.21086994,-15.98388178336188,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7612583622572914,0.0598887978357191,-0.7286059140580324,0.2582533144674926
46,EC,EA,Acetate,0.50926601,1.831968347,43.7176934,28711.03277,32.21086994,-41.6212352,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6435193071495694,-0.04782846145587,-0.7286059140580324,0.2582533144674926
47,EA,EA,Acetate,-0.062125919,-0.062125919,32.21086994,0.0,32.21086994,-19.572939585488147,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7286059140580324,0.2582533144674926,-0.7286059140580324,0.2582533144674926
48,PK,EA,Acetate,1.235859097,0.023589177,2399.145788,19668.42264,32.21086994,-72.42289436203862,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.734465090778677,0.0343645341896359,-0.7286059140580324,0.2582533144674926
49,PR1,EA,Acetate,3.245092239,0.112655473,2327.338169,16694.40038,32.21086994,-74.89519611220658,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.62148647467857,-0.002116133365859,-0.7286059140580324,0.2582533144674926
50,PAr,EA,Acetate,1.122563209,-0.127224687,1388.915272,12684.41527,32.21086994,-86.33187643657061,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.5779525775593926,-0.0142748062335358,-0.7286059140580324,0.2582533144674926
51,PR2,EA,Acetate,0.612583466,0.10378311,1795.25373,15124.14251,32.21086994,-150.55169427018336,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.6398755564620169,0.0056531287404293,-0.7286059140580324,0.2582533144674926
52,PH,EA,Acetate,2.526995512,-0.009868309,2146.296509,18110.66951,32.21086994,-98.5758698521746,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.675692322398025,0.0107785747182994,-0.7286059140580324,0.2582533144674926
53,PP,EA,Acetate,2.609199633,-0.288560636,1852.233739,11320.55684,32.21086994,207.92033040781257,-19.572939585488147,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.7082373371805837,0.0228923513977414,-0.7286059140580324,0.2582533144674926
54,PAl,EC,Acetate,2.756361296,0.0,55.98748073,28120.71471,43.7176934,-29.10466017871772,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5643511278633632,-0.250667083381068,-0.6435193071495694,-0.04782846145587
55,PAg2,EC,Acetate,2.00243225,0.0,-7.018267575,28391.64622,43.7176934,-10.611096590468604,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6309041661015486,-0.2015744697433372,-0.6435193071495694,-0.04782846145587
56,PAg1,EC,Acetate,3.448815762,0.0,15.02481971,27188.74531,43.7176934,-57.56457651623623,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6443154712889336,-0.2220118218825399,-0.6435193071495694,-0.04782846145587
57,PAg3,EC,Acetate,3.266279525,0.269163622,24.22620584,27956.64316,43.7176934,6.493217606349957,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5989515583467925,-0.2484610553238693,-0.6435193071495694,-0.04782846145587
58,LA,EC,Acetate,2.13280885,-1.483478373,76.19412972,28495.55031,43.7176934,-8.179287724208619,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7710003090347234,0.0770753917642925,-0.6435193071495694,-0.04782846145587
59,EL,EC,Acetate,3.196037118,0.186799221,337.8699023,28040.25987,43.7176934,-16.594884980789743,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7347306548489613,-0.0440939376470185,-0.6435193071495694,-0.04782846145587
60,RP2,EC,Acetate,2.492159935,-0.311733294,224.9884616,28039.69158,43.7176934,18.57815977595305,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7928518257374005,0.1173580381058817,-0.6435193071495694,-0.04782846145587
61,RP1,EC,Acetate,2.494616164,-0.061855426,374.4295474,27420.06137,43.7176934,-44.06677434238349,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.796280534436652,0.1132262738115668,-0.6435193071495694,-0.04782846145587
62,SF1,EC,Acetate,2.039324104,0.0,7.755480413,29179.12915,43.7176934,-17.622735918709964,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7354472493977712,0.2471410927598533,-0.6435193071495694,-0.04782846145587
63,KA,EC,Acetate,4.055722981,0.811937288,86.05120162,26518.21871,43.7176934,-15.98388178336188,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7612583622572914,0.0598887978357191,-0.6435193071495694,-0.04782846145587
64,EC,EC,Acetate,1.1995002,1.1995002,43.7176934,0.0,43.7176934,-41.6212352,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6435193071495694,-0.04782846145587,-0.6435193071495694,-0.04782846145587
65,PK,EC,Acetate,0.733795233,0.113945983,2399.145788,24534.68473,43.7176934,-72.42289436203862,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.734465090778677,0.0343645341896359,-0.6435193071495694,-0.04782846145587
66,PR1,EC,Acetate,3.134899133,-0.022100148,2327.338169,21782.59962,43.7176934,-74.89519611220658,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.62148647467857,-0.002116133365859,-0.6435193071495694,-0.04782846145587
67,PAr,EC,Acetate,1.666172838,0.057814891,1388.915272,24663.7032,43.7176934,-86.33187643657061,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.5779525775593926,-0.0142748062335358,-0.6435193071495694,-0.04782846145587
68,PR2,EC,Acetate,1.181406479,0.212852466,1795.25373,26267.69138,43.7176934,-150.55169427018336,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.6398755564620169,0.0056531287404293,-0.6435193071495694,-0.04782846145587
69,PH,EC,Acetate,2.619956339,-0.1944826,2146.296509,29008.51306,43.7176934,-98.5758698521746,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.675692322398025,0.0107785747182994,-0.6435193071495694,-0.04782846145587
70,PP,EC,Acetate,3.193341015,-0.08335116,1852.233739,29016.95268,43.7176934,207.92033040781257,-41.6212352,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.7082373371805837,0.0228923513977414,-0.6435193071495694,-0.04782846145587
71,PAl,EL,Acetate,-0.040749303,0.0,55.98748073,1698.541063,337.8699023,-29.10466017871772,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5643511278633632,-0.250667083381068,-0.7347306548489613,-0.0440939376470185
72,PAg2,EL,Acetate,-0.147803509,1.176056931,-7.018267575,1967.141387,337.8699023,-10.611096590468604,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6309041661015486,-0.2015744697433372,-0.7347306548489613,-0.0440939376470185
73,PAg1,EL,Acetate,0.088675167,0.0,15.02481971,2728.445685,337.8699023,-57.56457651623623,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6443154712889336,-0.2220118218825399,-0.7347306548489613,-0.0440939376470185
74,LA,EL,Acetate,-0.422088658,-1.305722802,76.19412972,1179.539771,337.8699023,-8.179287724208619,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7710003090347234,0.0770753917642925,-0.7347306548489613,-0.0440939376470185
75,EL,EL,Acetate,-0.497184381,-0.497184381,337.8699023,0.0,337.8699023,-16.594884980789743,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7347306548489613,-0.0440939376470185,-0.7347306548489613,-0.0440939376470185
76,RP2,EL,Acetate,-0.566236835,-0.808286333,224.9884616,1252.450576,337.8699023,18.57815977595305,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7928518257374005,0.1173580381058817,-0.7347306548489613,-0.0440939376470185
77,RP1,EL,Acetate,-0.437010016,-0.505726519,374.4295474,1438.57347,337.8699023,-44.06677434238349,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.796280534436652,0.1132262738115668,-0.7347306548489613,-0.0440939376470185
78,SF1,EL,Acetate,-0.130495193,0.791568007,7.755480413,2083.086451,337.8699023,-17.622735918709964,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7354472493977712,0.2471410927598533,-0.7347306548489613,-0.0440939376470185
79,KA,EL,Acetate,-0.314753537,0.04917246,86.05120162,2466.528455,337.8699023,-15.98388178336188,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7612583622572914,0.0598887978357191,-0.7347306548489613,-0.0440939376470185
80,PK,EL,Acetate,-1.014635551,-1.304124521,2399.145788,18705.31437,337.8699023,-72.42289436203862,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.734465090778677,0.0343645341896359,-0.7347306548489613,-0.0440939376470185
81,PR1,EL,Acetate,0.179953986,-0.386925668,2327.338169,16019.70794,337.8699023,-74.89519611220658,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.62148647467857,-0.002116133365859,-0.7347306548489613,-0.0440939376470185
82,PAr,EL,Acetate,-1.727513378,-0.357533244,1388.915272,12113.08256,337.8699023,-86.33187643657061,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.5779525775593926,-0.0142748062335358,-0.7347306548489613,-0.0440939376470185
83,PR2,EL,Acetate,-1.384102837,-0.275308256,1795.25373,14648.71994,337.8699023,-150.55169427018336,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.6398755564620169,0.0056531287404293,-0.7347306548489613,-0.0440939376470185
84,PH,EL,Acetate,-0.227776699,-0.130127935,2146.296509,17556.48446,337.8699023,-98.5758698521746,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.675692322398025,0.0107785747182994,-0.7347306548489613,-0.0440939376470185
85,PP,EL,Acetate,-0.045085108,-0.413984603,1852.233739,11175.16977,337.8699023,207.92033040781257,-16.594884980789743,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.7082373371805837,0.0228923513977414,-0.7347306548489613,-0.0440939376470185
86,PAg2,KA,Acetate,0.424921665,0.729380446,-7.018267575,3273.747814,86.05120162,-10.611096590468604,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6309041661015486,-0.2015744697433372,-0.7612583622572914,0.0598887978357191
87,PAg1,KA,Acetate,-0.12856602,0.0,15.02481971,2955.263116,86.05120162,-57.56457651623623,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6443154712889336,-0.2220118218825399,-0.7612583622572914,0.0598887978357191
88,PAg3,KA,Acetate,0.046058952,0.0,24.22620584,2817.641589,86.05120162,6.493217606349957,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5989515583467925,-0.2484610553238693,-0.7612583622572914,0.0598887978357191
89,LA,KA,Acetate,-0.269008907,-1.467645187,76.19412972,2760.371344,86.05120162,-8.179287724208619,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7710003090347234,0.0770753917642925,-0.7612583622572914,0.0598887978357191
90,RP2,KA,Acetate,-0.231968724,-0.615818974,224.9884616,2430.612452,86.05120162,18.57815977595305,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7928518257374005,0.1173580381058817,-0.7612583622572914,0.0598887978357191
91,RP1,KA,Acetate,0.555516251,-0.026536683,374.4295474,2035.300418,86.05120162,-44.06677434238349,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.796280534436652,0.1132262738115668,-0.7612583622572914,0.0598887978357191
92,SF1,KA,Acetate,0.629024317,0.500869207,7.755480413,3677.421282,86.05120162,-17.622735918709964,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7354472493977712,0.2471410927598533,-0.7612583622572914,0.0598887978357191
93,KA,KA,Acetate,-0.23275809,-0.23275809,86.05120162,0.0,86.05120162,-15.98388178336188,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7612583622572914,0.0598887978357191,-0.7612583622572914,0.0598887978357191
94,PK,KA,Acetate,-0.265247615,-0.167423148,2399.145788,18257.06395,86.05120162,-72.42289436203862,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.734465090778677,0.0343645341896359,-0.7612583622572914,0.0598887978357191
95,PR1,KA,Acetate,1.720234624,-0.122906764,2327.338169,15579.13988,86.05120162,-74.89519611220658,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.62148647467857,-0.002116133365859,-0.7612583622572914,0.0598887978357191
96,PAr,KA,Acetate,0.040782689,0.079138679,1388.915272,11870.31428,86.05120162,-86.33187643657061,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.5779525775593926,-0.0142748062335358,-0.7612583622572914,0.0598887978357191
97,PR2,KA,Acetate,-0.954172865,0.19128093,1795.25373,14648.9878,86.05120162,-150.55169427018336,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.6398755564620169,0.0056531287404293,-0.7612583622572914,0.0598887978357191
98,PH,KA,Acetate,0.832340669,0.000360637,2146.296509,17723.34851,86.05120162,-98.5758698521746,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.675692322398025,0.0107785747182994,-0.7612583622572914,0.0598887978357191
99,PP,KA,Acetate,1.664939966,-0.290853049,1852.233739,11796.43621,86.05120162,207.92033040781257,-15.98388178336188,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.7082373371805837,0.0228923513977414,-0.7612583622572914,0.0598887978357191
