,Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
0,PAl,PAl,ArabinoseD,0.0,0.0,-8.06855257,0.0,-8.06855257,-23.20377536654405,-23.20377536654405,-5001.488171724186,-2267.6661119247383,146.25780552009113,-359.92321590704427,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
1,PAl,PAl,ArabinoseL,-0.859252027,-0.859252027,755.5035422,0.0,755.5035422,120.9178289559352,120.9178289559352,12335.053502387886,-3617.8105890062825,1182.3447490169679,-1156.2145892128715,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
2,PAl,PAl,Xylose,-1.022603828,-1.022603828,753.4142182,0.0,753.4142182,27.700284088109584,27.700284088109584,-262.62735676487785,-1831.7195182168239,4975.540851918478,1225.075731282064,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
3,PAl,PAl,Ribose,0.0,0.0,358.8712166,0.0,358.8712166,75.49254225296306,75.49254225296306,-1694.9022807554343,-240.82647191593367,4172.71385273874,1168.1224639327693,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
4,PAl,PAl,Rhamnose,0.0,0.0,51.59125865,0.0,51.59125865,20.222767023358983,20.222767023358983,-4170.6263765994945,-2666.583267557139,55.821384556513785,114.1443569589125,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
5,PAl,PAl,Fructose,-0.629365498,-0.629365498,681.1760995,0.0,681.1760995,152.34932012535455,152.34932012535455,7263.078621203025,-1947.9300747856282,323.1544970230396,-1540.2701117941529,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
6,PAl,PAl,Galactose,0.0,0.0,324.5312202,0.0,324.5312202,105.70481834026168,105.70481834026168,8198.217860856765,-3472.529591636279,1585.0405516719188,347.43177064176416,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
7,PAl,PAl,Glucose,-0.857985975,-0.857985975,640.9109579,0.0,640.9109579,219.58128310875875,219.58128310875875,6993.702758671064,1677.726611654751,660.7704706046808,3077.1319408875897,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
8,PAl,PAl,Glucose01,0.0,0.0,24.70449388,0.0,24.70449388,21.6961554376727,21.6961554376727,-3498.5210735170613,-668.5771724619559,34.74663611455266,-476.33214880834146,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
9,PAl,PAl,Mannose,0.091758893,0.091758893,462.4562098,0.0,462.4562098,79.2026619371237,79.2026619371237,4229.791528385384,-4490.077254606668,-1384.7766160130113,893.8952593094275,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
10,PAl,PAl,GlcNAc,0.416069039,0.416069039,104.8927423,0.0,104.8927423,84.01876685514867,84.01876685514867,2605.0300383812646,-701.6177193137013,-4124.15408876552,3189.8832760066593,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
11,PAl,PAl,Acetate,0.0,0.0,55.98748073,0.0,55.98748073,-29.10466017871772,-29.10466017871772,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
12,PAl,PAl,Pyruvate,0.0,0.0,243.3419865,0.0,243.3419865,-24.33454555448111,-24.33454555448111,2948.202194327789,3875.839637567356,1373.0798365124526,312.5572073877007,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
13,PAl,PAl,Pyruvate01,0.0,0.0,61.1511863,0.0,61.1511863,-22.24051501925078,-22.24051501925078,-3806.0524934228238,-973.2049868701582,289.13287850378003,-91.69461650408573,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
14,PAl,PAl,Fumarate,-0.000757181,-0.000757181,193.3937302,0.0,193.3937302,64.67464486105665,64.67464486105665,-1109.7987677274416,3536.582028637915,422.8306259242859,-922.8124517836892,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
15,PAl,PAl,Succinate,-0.151721911,-0.151721911,422.6449981,0.0,422.6449981,23.130187606867143,23.130187606867143,-492.129761316511,3883.979543166541,683.8780109038099,-547.0296480788238,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
16,PAl,PAl,Citrate,0.0,0.0,287.2254931,0.0,287.2254931,-17.511412938181024,-17.511412938181024,-1541.2519523501267,2693.6455479560072,319.2770112890751,-323.4601435791636,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
17,PAl,PAl,Glycerol,0.338430361,0.338430361,326.4561931,0.0,326.4561931,82.8506189375463,82.8506189375463,7432.507689247068,1108.0144049648736,-1882.1951300912433,-2786.313227145484,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
18,PAl,PAl,Glycerol01,0.0,0.0,80.90633704,0.0,80.90633704,42.57966362941352,42.57966362941352,-2693.764801775901,-38.33286753751476,17.417784035200434,-505.83857085624544,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
